Fold,Sn,Sp,ACC,MCC,F1_Score,AUROC,PR_AUC
1,0.8310,0.7930,0.8122,0.6246,0.8169,0.8955,0.8801
2,0.8586,0.7930,0.8261,0.6532,0.8328,0.9058,0.9053
3,0.7379,0.9018,0.8191,0.6478,0.8045,0.9082,0.9054
4,0.7103,0.9123,0.8104,0.6350,0.7908,0.9128,0.9088
5,0.7345,0.8561,0.7948,0.5947,0.7831,0.8811,0.8761
6,0.7517,0.8632,0.8070,0.6183,0.7971,0.8875,0.8837
7,0.8793,0.7158,0.7983,0.6037,0.8147,0.8956,0.9047
8,0.8586,0.8211,0.8400,0.6803,0.8441,0.9114,0.9032
9,0.7483,0.8632,0.8052,0.6151,0.7949,0.8891,0.8909
10,0.8793,0.8105,0.8452,0.6917,0.8514,0.9085,0.8919
Average,0.7990,0.8330,0.8158,0.6365,0.8130,0.8995,0.8950
